ppl_specialization_code,Security_Type_Value,Market_Cap_Value,Country_Value,Custom_Region_Value,Strategy_Value,Style_Value,Quality
D010,,,,,,,
D020,,,,,,,
D030,Money Market,,,,,,
D040,"MBS, ABS",,,,,,
D050,Corporate Bond,,,,,,
D060,,,,Emerging Markets,,,
D070,,,,,,,
D080,Corporate Bond,,,,,,High Yield
D090,,,,,,,
D100,,,,,Special Situations,,
D110,,,,,,,
D120,,,,,,,Distressed
D130,,,U.S.,,,,
D140,,,,,,,
D150,,,,,Socially Responsible,,
D160,,,,,,,
D170,,,,,,,
E010,,Small-Cap,,,,,
E020,,Mid-Cap,,,,,
E030,,"Large-Cap, Mega-Cap",,,,,
E040,Convertible Bonds,,,,,,
E050,,,,,,,
E060,,,,,,,
E070,,,U.S.,,,,
E080,,,,Emerging Markets,,,
E090,,,,,,Growth,
E100,,,,,,Value,
E110,,,,,,,
E120,,,,,,,
E130,,,,,,,
E140,,,,,,,High Yield
E150,,,,,Yield,,
E160,,,,,Blend,,
E170,,,,,Special Situations,,
E180,,,,,,,
E190,,,,,,,
E200,,"Small-Cap, Mid-Cap, Large-Cap",,,,,
E210,,,,,Socially Responsible,,
E220,,,,,,,
E230,,,,,,,
E240,,,,,,,
E250,,,,,,GARP,
E260,,,,,,,
E270,,,,,,,
E280,,,,,,,