FactSetEntityId,CurrentReportDate,Style,ManagerStyle,TurnoverLabel,TotalAUM,FDS13FFlag
000C65-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,40215,1
000C6K-E,2018-02-28 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
000C8R-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,895,1
000C90-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
000CK2-E,2000-09-29 00:00:00 +0000,,Hedge Fund,,NULL,0
000CN3-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Low,2820,1
000CND-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,High,30747,1
000FFT-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,182,1
000HK7-E,2006-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
000JCY-E,2018-05-01 00:00:00 +0000,,Hedge Fund,,NULL,1
000JGK-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,33643,1
000LT6-E,NULL,,Hedge Fund,,NULL,1
000LVP-E,2011-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
000LXL-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Low,NULL,1
000NXG-E,2017-03-20 00:00:00 +0000,,Hedge Fund,,NULL,1
000P0M-E,2017-11-21 00:00:00 +0000,Yield,Hedge Fund,,31,0
000PF7-E,2012-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
000PQ2-E,NULL,,Hedge Fund,,NULL,0
000VKD-E,2017-04-10 00:00:00 +0000,,Hedge Fund,,NULL,0
000VN1-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Low,157,1
000VR8-E,2018-12-31 00:00:00 +0000,Value,Hedge Fund,,NULL,0
000YSW-E,2006-05-09 00:00:00 +0000,,Hedge Fund,,NULL,1
000Z45-E,NULL,,Hedge Fund,,694,0
000ZFK-E,2017-03-10 00:00:00 +0000,,Hedge Fund,,NULL,1
0010BL-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,,NULL,1
0010FM-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Medium,NULL,1
0010SD-E,2019-02-01 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
00116S-E,2008-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0011J1-E,2007-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0011TN-E,2018-10-17 00:00:00 +0000,,Hedge Fund,,574,0
0011XG-E,2007-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
0011Y4-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,1901,1
0012MH-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,1703,1
0012ZV-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,29099,1
00132N-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,2482,1
00134N-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,2725,1
001358-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,High,741,1
0013X9-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Very Low,25066,1
0013XN-E,2019-04-01 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
0013ZM-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,182,1
00140T-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,28579,1
0014VV-E,NULL,,Hedge Fund,,NULL,0
0016FP-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Low,10074,1
0016HY-E,2012-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0016Z2-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,NULL,1
00176H-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,1397,1
00179W-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,NULL,1
0017GJ-E,2019-03-15 00:00:00 +0000,Aggressive Growth,Hedge Fund,,50,0
0017HB-E,2005-01-12 00:00:00 +0000,,Hedge Fund,,NULL,1
0017ZB-E,2008-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0018BF-E,2005-11-14 00:00:00 +0000,,Hedge Fund,,NULL,1
0018FW-E,2014-01-27 00:00:00 +0000,,Hedge Fund,,NULL,1
0018XT-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,High,36060,1
001BMP-E,2019-04-22 00:00:00 +0000,Deep Value,Hedge Fund,,NULL,0
001BQN-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Very Low,372,1
001BRP-E,2016-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001CMV-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001DDN-E,NULL,,Hedge Fund,,NULL,0
001DGK-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,NULL,1
001DN5-E,2018-07-20 00:00:00 +0000,GARP,Hedge Fund,,552,0
001DTQ-E,2007-10-31 00:00:00 +0000,,Hedge Fund,,NULL,1
001F5Z-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,NULL,1
001FCX-E,2012-12-31 00:00:00 +0000,,Hedge Fund,,NULL,0
001G5D-E,2010-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
001H9C-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,686,1
001H9G-E,2009-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001J02-E,2015-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001JJT-E,2007-08-30 00:00:00 +0000,,Hedge Fund,,NULL,0
001KZT-E,2014-02-24 00:00:00 +0000,,Hedge Fund,,NULL,1
001LH5-E,2015-12-31 00:00:00 +0000,,Hedge Fund,,76,0
001LRL-E,2018-06-07 00:00:00 +0000,Yield,Hedge Fund,,1886,0
001LTJ-E,2019-04-08 00:00:00 +0000,Aggressive Growth,Hedge Fund,,NULL,0
001M86-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,8736,1
001MWW-E,2015-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001P2K-E,NULL,,Hedge Fund,,NULL,0
001P7Y-E,2009-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001PJY-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Very Low,1856,1
001PKQ-E,2013-03-31 00:00:00 +0000,,Hedge Fund,,NULL,0
001Q0T-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,2232,1
001Q1T-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Medium,174,1
001Q8G-E,NULL,,Hedge Fund,,5024,0
001QW9-E,2011-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001RH3-E,2018-12-31 00:00:00 +0000,GARP,Hedge Fund,,76,0
001S4P-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Very Low,NULL,1
001SBP-E,2006-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
001SHD-E,2018-12-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,NULL,0
001T00-E,2011-12-10 00:00:00 +0000,,Hedge Fund,,NULL,0
001T4W-E,2014-09-30 00:00:00 +0000,,Hedge Fund,,NULL,0
001TFZ-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Very High,2632,1
001TK8-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,67863,1
001TLD-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,3854,1
001TYJ-E,2008-08-04 00:00:00 +0000,,Hedge Fund,,NULL,1
001V32-E,2018-12-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,NULL,0
001VR9-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,42972,1
001W3Q-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,NULL,1
001W41-E,NULL,,Hedge Fund,,NULL,0
001WYK-E,NULL,,Hedge Fund,,48330,0
001Y8F-E,2014-08-31 00:00:00 +0000,,Hedge Fund,,NULL,1
001YD6-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,48415,1
001YPY-E,NULL,,Hedge Fund,,NULL,0
001Z1N-E,2011-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
001Z79-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Very Low,108,1
001ZRD-E,2005-02-28 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
001ZVG-E,NULL,,Hedge Fund,,NULL,0
001ZYX-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002074-E,NULL,,Hedge Fund,,NULL,0
00208Z-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,NULL,1
0020Z0-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Very Low,NULL,1
0020ZT-E,2009-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0021HZ-E,2019-04-30 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,NULL,0
0021QB-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,NULL,1
0022H4-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,32100,1
0022Z8-E,2011-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002340-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Medium,3321,1
0023D5-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,Medium,1265,1
00245B-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,744,1
0024FZ-E,NULL,,Hedge Fund,,NULL,0
0024G2-E,2005-03-03 00:00:00 +0000,,Hedge Fund,,NULL,0
0024GN-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Low,295,1
0024Q4-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Low,21353,1
00253Y-E,NULL,,Hedge Fund,,NULL,0
002544-E,2013-04-15 00:00:00 +0000,,Hedge Fund,,NULL,1
002656-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,15990,1
00266Z-E,2010-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0026MR-E,2005-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
0027WG-E,NULL,,Hedge Fund,,NULL,1
00285H-E,2006-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
0029TB-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,0
0029VD-E,2000-06-07 00:00:00 +0000,,Hedge Fund,,NULL,1
0029W3-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,502,1
002B0Y-E,2007-03-22 00:00:00 +0000,,Hedge Fund,,NULL,0
002B2T-E,2005-12-31 00:00:00 +0000,,Hedge Fund,,NULL,0
002BX9-E,2018-05-14 00:00:00 +0000,Deep Value,Hedge Fund,,NULL,0
002C4W-E,2007-09-10 00:00:00 +0000,,Hedge Fund,,NULL,1
002C68-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002CS5-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Very Low,18699,1
002CZ9-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,NULL,1
002DDZ-E,2010-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002DFS-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,High,14943,1
002DKJ-E,2016-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002DZN-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Medium,NULL,1
002F3R-E,NULL,,Hedge Fund,,NULL,0
002F9P-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,14600,1
002FVQ-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,25937,1
002GF2-E,NULL,,Hedge Fund,,NULL,0
002GFZ-E,2011-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002GK8-E,2015-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002GTL-E,2011-04-01 00:00:00 +0000,,Hedge Fund,,NULL,1
002GZZ-E,2014-02-28 00:00:00 +0000,,Hedge Fund,,NULL,1
002H22-E,2006-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002H4C-E,2019-04-26 00:00:00 +0000,Aggressive Growth,Hedge Fund,,249,0
002H97-E,2011-03-31 00:00:00 +0000,,Hedge Fund,,NULL,0
002HB5-E,2011-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002HCW-E,2013-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002HDR-E,2009-03-31 00:00:00 +0000,,Hedge Fund,,67,0
002HDY-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Low,5886,1
002HFC-E,2017-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002HFD-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,Medium,7495,1
002HFS-E,2018-03-02 00:00:00 +0000,,Hedge Fund,,NULL,0
002HFX-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Medium,10948,1
002HKH-E,2006-03-07 00:00:00 +0000,,Hedge Fund,,NULL,1
002HLM-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,552,1
002HMF-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,9467,1
002HMH-E,NULL,,Hedge Fund,,NULL,1
002HNM-E,NULL,,Hedge Fund,,NULL,0
002HP1-E,2017-01-10 00:00:00 +0000,,Hedge Fund,,NULL,1
002HP4-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,High,20570,1
002HP7-E,2013-03-04 00:00:00 +0000,,Hedge Fund,,NULL,1
002HPR-E,2008-03-25 00:00:00 +0000,,Hedge Fund,,NULL,1
002HPZ-E,2012-09-30 00:00:00 +0000,,Hedge Fund,,NULL,0
002HQV-E,2015-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002HR5-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,3197,1
002HR6-E,2015-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002HRF-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Very High,16311,1
002HRY-E,2005-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002HT8-E,NULL,,Hedge Fund,,NULL,0
002HVD-E,2014-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002HVP-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Low,715,1
002HW1-E,2015-09-30 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
002HWL-E,2009-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002HWN-E,2012-08-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002HXC-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,199,1
002HXK-E,2012-06-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002HXV-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,1851,1
002HZR-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Low,1766,1
002HZW-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,Low,715,1
002HZX-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,3422,1
002J17-E,NULL,,Hedge Fund,,NULL,0
002J1R-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,High,20456,1
002J39-E,2006-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002J3K-E,2016-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002J3W-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Very Low,796,1
002J41-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,130945,1
002J4S-E,2018-12-31 00:00:00 +0000,,Hedge Fund,,6993,0
002J57-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Low,1595,1
002J5H-E,2013-08-14 00:00:00 +0000,,Hedge Fund,,NULL,1
002J5N-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Very Low,4738,1
002J6G-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,744,1
002J7Z-E,2007-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002J87-E,2010-03-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002JCR-E,NULL,,Hedge Fund,,NULL,1
002JJY-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,9350,1
002JKF-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,80097,1
002JLJ-E,2007-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002JZ5-E,2007-06-30 00:00:00 +0000,,Hedge Fund,,NULL,0
002K07-E,2005-01-13 00:00:00 +0000,,Hedge Fund,,NULL,1
002K0C-E,2009-02-24 00:00:00 +0000,,Hedge Fund,,NULL,1
002K35-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Low,NULL,1
002K5H-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002KCX-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,Medium,NULL,1
002KFT-E,2011-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002KJS-E,2012-12-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002L82-E,2012-09-30 00:00:00 +0000,,Hedge Fund,,NULL,0
002LHN-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,1183,1
002LRJ-E,2018-12-31 00:00:00 +0000,,Hedge Fund,,129,0
002LTL-E,NULL,,Hedge Fund,,NULL,0
002LY0-E,2013-06-30 00:00:00 +0000,,Hedge Fund,,NULL,0
002M54-E,2018-12-31 00:00:00 +0000,,Hedge Fund,,173,0
002MW6-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,High,NULL,1
002NGP-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002NVS-E,2014-03-03 00:00:00 +0000,,Hedge Fund,,NULL,1
002P3C-E,2018-01-02 00:00:00 +0000,,Hedge Fund,,NULL,0
002P8N-E,2004-08-11 00:00:00 +0000,,Hedge Fund,,NULL,0
002P9V-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,323,1
002PCB-E,2015-02-17 00:00:00 +0000,,Hedge Fund,,NULL,1
002PDZ-E,NULL,,Hedge Fund,,NULL,0
002PFM-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,High,43873,1
002PTG-E,2014-07-01 00:00:00 +0000,,Hedge Fund,,NULL,0
002QKC-E,2008-12-31 00:00:00 +0000,,Hedge Fund,,NULL,0
002S10-E,2019-04-15 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
002S5Q-E,2019-05-02 00:00:00 +0000,GARP,Hedge Fund,,NULL,0
002SBB-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,490,1
002SQ3-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,1931,1
002SQC-E,2009-09-30 00:00:00 +0000,,Hedge Fund,,NULL,1
002SXM-E,2019-03-31 00:00:00 +0000,GARP,Hedge Fund,,NULL,1
002T26-E,2010-12-31 00:00:00 +0000,,Hedge Fund,,NULL,0
002T2S-E,2010-03-25 00:00:00 +0000,,Hedge Fund,,NULL,1
002T3G-E,NULL,,Hedge Fund,,NULL,1
002T44-E,2010-10-31 00:00:00 +0000,,Hedge Fund,,NULL,1
002T49-E,NULL,,Hedge Fund,,NULL,0
